CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.1059209,-75.5409314,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.540931400021 39.105920900163),K,Kent,
,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.7356938,-75.6213588,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.621358799897 39.735693799943),N,New Castle,
,1,Sunday,2,Property Damage Only,N,N,99,Unknown,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,39.2974645,-75.6052715,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.605271500295 39.2974645003),K,Kent,
2012 Apr 29 05:32:00 PM,1,Sunday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.66174,-75.73633,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.736330000437 39.661740000052),N,New Castle,"2,012"
2015 Jul 17 03:15:00 PM,6,Friday,2,Property Damage Only,N,N,99,Unknown,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,N,N,N,N,N,39.66216,-75.63543,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.635429999728 39.662159999798),N,New Castle,"2,015"
2009 Nov 06 08:13:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.1573366,-75.5120003,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.512000300202 39.157336599703),K,Kent,"2,009"
2009 Dec 03 02:40:00 AM,4,Wednesday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,38.60802,-75.5855658,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.585565800202 38.608020000251),S,Sussex,"2,009"
2014 Jul 22 10:25:00 AM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.75045,-75.16804,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.168039999745 38.750450000335),S,Sussex,"2,014"
2013 Dec 14 02:11:00 PM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.94225,-75.45237,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.45236999959 38.942250000299),K,Kent,"2,013"
2012 Oct 05 12:38:00 PM,6,Friday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.78019,-75.50643,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.506429999839 39.780189999689),N,New Castle,"2,012"
2011 May 23 12:58:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.74141,-75.58174,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.581740000273 39.741410000012),N,New Castle,"2,011"
2014 Jul 24 06:06:00 PM,5,Thursday,1,Non-Reportable,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,38.71352,-75.09658,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.096579999853 38.713520000338),S,Sussex,"2,014"
2009 May 04 06:53:00 PM,2,Monday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.7401456,-75.5579946,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.557994599704 39.740145600259),N,New Castle,"2,009"
2015 Jun 01 09:00:00 PM,2,Monday,1,Non-Reportable,N,N,99,Unknown,N,N,99,Unknown,99,Unknown,99,Unknown,NA,NA,Y,N,N,N,N,39.68416,-75.74566,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.745659999996 39.684160000041),N,New Castle,"2,015"
2010 Nov 19 12:47:00 PM,6,Friday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.73813,-75.5434,2,Failed to yield right of way,0,No,N,NA,NA,NA,NA,N,POINT (-75.543400000067 39.738130000195),N,New Castle,"2,010"
2012 Feb 11 09:15:00 PM,7,Saturday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.17972,-75.54913,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.549130000226 39.179720000083),K,Kent,"2,012"
2015 Jun 04 02:55:00 AM,4,Wednesday,2,Property Damage Only,N,N,7,Rear to rear,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.7299,-75.58686,14,Improper backing,0,No,N,NA,NA,NA,NA,N,POINT (-75.586860000337 39.729899999852),N,New Castle,"2,015"
2011 Oct 03 11:10:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.60806,-75.71552,14,Improper backing,0,No,N,NA,NA,NA,NA,N,POINT (-75.71551999957 39.608060000217),N,New Castle,"2,011"
2009 Feb 24 01:38:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.6507839,-75.43182,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.431819999911 38.650783899913),S,Sussex,"2,009"
2009 Jun 27 10:28:00 AM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,2,Dawn,1,Clear,NA,NA,Y,N,N,N,N,38.557088,-75.1653055,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.165305500172 38.557088000087),S,Sussex,"2,009"
2009 May 18 10:35:00 AM,2,Monday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.1665177,-75.5168553,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.516855299952 39.166517700251),K,Kent,"2,009"
2011 Feb 25 06:20:00 PM,6,Friday,1,Non-Reportable,N,N,2,Front to front,N,N,2,Wet,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.8021,-75.45827,9,Made improper turn,0,No,N,NA,NA,NA,NA,N,POINT (-75.458269999629 39.802099999667),N,New Castle,"2,011"
2012 Sep 15 09:58:00 PM,7,Saturday,3,Personal Injury Crash,N,N,4,"Sideswipe, same direction",Y,Y,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.11876,-75.53493,10,Driving under the influence,0,No,N,NA,NA,NA,NA,N,POINT (-75.53492999995 39.118759999962),K,Kent,"2,012"
2012 Mar 02 06:26:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.73762,-75.62092,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.62091999983 39.737619999959),N,New Castle,"2,012"
2011 Aug 22 08:04:00 PM,2,Monday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.71398,-75.67555,7,Improper lane change,0,No,N,NA,NA,NA,NA,N,POINT (-75.675549999992 39.713980000246),N,New Castle,"2,011"
2013 Mar 04 05:39:00 PM,2,Monday,1,Non-Reportable,N,N,88,Other,N,N,1,Dry,2,Dawn,1,Clear,NA,NA,Y,N,N,N,N,39.70948,-75.53569,20,"Roadway circumstances - debris, holes, work zone,",0,No,N,NA,NA,NA,NA,N,POINT (-75.535689999833 39.709479999941),N,New Castle,"2,013"
2012 Feb 27 02:02:00 PM,2,Monday,1,Non-Reportable,N,N,NA,NA,N,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,N,N,N,39.39178,-75.66704,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.667039999692 39.391780000055),N,New Castle,"2,012"
2011 Oct 28 11:46:00 AM,6,Friday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.58151,-75.66853,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.66853000022 39.581510000337),N,New Castle,"2,011"
2010 Sep 26 03:05:00 PM,1,Sunday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.75266,-75.53992,2,Failed to yield right of way,0,No,N,NA,NA,NA,NA,N,POINT (-75.539920000318 39.752659999694),N,New Castle,"2,010"
2013 Sep 17 10:23:00 AM,3,Tuesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,38.64191,-75.20511,17,Animal in Roadway - Deer,0,No,N,NA,NA,NA,NA,N,POINT (-75.20511000043 38.641910000161),S,Sussex,"2,013"
2013 Oct 07 09:47:00 PM,2,Monday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,38.73003,-75.15472,1,Speeding,0,No,N,NA,NA,NA,NA,N,POINT (-75.154719999901 38.73003000028),S,Sussex,"2,013"
2009 Jul 03 03:51:00 PM,6,Friday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.8102891,-75.5494062,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.549406199837 39.810289100247),N,New Castle,"2,009"
2011 Nov 04 04:20:00 PM,6,Friday,1,Non-Reportable,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.67746,-75.69875,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.698750000114 39.677460000342),N,New Castle,"2,011"
2013 Mar 09 04:35:00 PM,7,Saturday,1,Non-Reportable,Y,N,99,Unknown,N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.75005,-75.5511,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.551100000254 39.750049999953),N,New Castle,"2,013"
2015 Nov 22 05:45:00 PM,1,Sunday,1,Non-Reportable,Y,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.80358,-75.5047,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.50470000001 39.803580000178),N,New Castle,"2,015"
2015 Dec 30 10:31:00 PM,4,Wednesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,38.72158,-75.16507,17,Animal in Roadway - Deer,0,No,N,NA,NA,NA,NA,N,POINT (-75.165069999634 38.721579999892),S,Sussex,"2,015"
2014 Jan 05 10:36:00 PM,1,Sunday,2,Property Damage Only,N,N,1,Front to rear,N,N,2,Wet,4,Dark-Lighted,2,Cloudy,NA,NA,Y,N,N,N,N,38.71797,-75.11304,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.113039999687 38.717970000253),S,Sussex,"2,014"
2015 Nov 06 12:19:00 PM,6,Friday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,2,Wet,2,Dawn,2,Cloudy,NA,NA,Y,N,N,N,N,38.46753,-75.11964,17,Animal in Roadway - Deer,0,No,N,NA,NA,NA,NA,N,POINT (-75.119640000233 38.467530000321),S,Sussex,"2,015"
2012 Mar 12 07:44:00 AM,2,Monday,1,Non-Reportable,Y,N,5,"Sideswipe, opposite direction",N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.67883,-75.73547,9,Made improper turn,0,No,N,NA,NA,NA,NA,N,POINT (-75.735470000097 39.678829999766),N,New Castle,"2,012"
2014 Jan 30 03:29:00 PM,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.72299,-75.14348,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.14347999969 38.722989999801),S,Sussex,"2,014"
2015 Aug 24 06:29:00 PM,2,Monday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.60789,-75.65162,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.651620000124 39.607890000136),N,New Castle,"2,015"
2009 Aug 10 04:11:00 PM,2,Monday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.7557462,-75.5670852,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.567085200037 39.755746199862),N,New Castle,"2,009"
2009 Aug 28 06:00:00 PM,6,Friday,3,Personal Injury Crash,N,N,3,Angle,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.7424252,-75.5515435,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.551543500307 39.74242520008),N,New Castle,"2,009"
2009 Oct 20 08:18:00 PM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.72551,-75.7124291,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.712429099696 39.725510000028),N,New Castle,"2,009"
2009 Oct 17 08:10:00 PM,7,Saturday,2,Property Damage Only,N,N,7,Rear to rear,N,Y,2,Wet,1,Daylight,NA,NA,4,Rain,Y,N,N,N,N,38.7542351,-75.6675113,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.667511299908 38.754235099766),S,Sussex,"2,009"
2011 Nov 18 07:30:00 AM,6,Friday,2,Property Damage Only,N,N,88,Other,Y,N,1,Dry,5,Dark-Not Lighted,2,Cloudy,NA,NA,Y,N,N,N,N,39.80089,-75.45091,10,Driving under the influence,0,No,N,NA,NA,NA,NA,N,POINT (-75.450910000098 39.800890000114),N,New Castle,"2,011"
2015 Aug 19 01:29:00 PM,4,Wednesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.65146,-75.74939,7,Improper lane change,0,No,N,NA,NA,NA,NA,N,POINT (-75.74938999999 39.65146000002),N,New Castle,"2,015"
2012 Jul 05 05:18:00 AM,5,Thursday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,Y,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.71911,-75.5793,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.579299999892 39.71910999999),N,New Castle,"2,012"
2009 Oct 11 12:20:00 AM,7,Saturday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,38.9276743,-75.5170501,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.517050099622 38.927674299744),K,Kent,"2,009"
2009 Oct 31 08:27:00 PM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.7667223,-75.5433836,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.543383600423 39.7667222999),N,New Castle,"2,009"
2009 Jul 12 11:15:00 PM,1,Sunday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.9745355,-75.4359919,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.435991900058 38.974535500334),K,Kent,"2,009"
2011 Dec 10 08:56:00 PM,7,Saturday,1,Non-Reportable,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.69559,-75.61968,7,Improper lane change,0,No,N,NA,NA,NA,NA,N,POINT (-75.619680000447 39.695590000072),N,New Castle,"2,011"
2012 Jan 11 10:24:00 PM,4,Wednesday,2,Property Damage Only,N,N,1,Front to rear,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,39.4177,-75.65885,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.658849999958 39.417699999964),N,New Castle,"2,012"
2010 Aug 05 12:27:00 AM,4,Wednesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,4,Dark-Lighted,1,Clear,1,Clear,Y,N,N,N,N,39.72034,-75.5781,7,Improper lane change,0,No,N,NA,NA,NA,NA,N,POINT (-75.578099999792 39.720339999946),N,New Castle,"2,010"
2013 Apr 29 05:08:00 PM,2,Monday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.72158,-75.54517,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.545170000078 39.721580000155),N,New Castle,"2,013"
2009 Nov 29 07:30:00 AM,1,Sunday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,38.6860256,-75.5470892,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.547089200377 38.68602559965),S,Sussex,"2,009"
2015 Mar 17 11:37:00 PM,3,Tuesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,NA,NA,Y,N,N,N,N,38.63516,-75.34787,17,Animal in Roadway - Deer,0,No,N,NA,NA,NA,NA,N,POINT (-75.347870000379 38.635159999766),S,Sussex,"2,015"
2011 Oct 14 03:34:00 PM,6,Friday,3,Personal Injury Crash,N,N,88,Other,N,N,2,Wet,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,38.60254,-75.29431,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.294309999723 38.602539999762),S,Sussex,"2,011"
2014 Mar 18 09:02:00 PM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.69076,-75.59753,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.597529999738 39.690759999719),N,New Castle,"2,014"
2015 Feb 04 08:21:00 PM,4,Wednesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.67952,-75.39895,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.398949999573 38.679520000092),S,Sussex,"2,015"
2011 May 10 12:44:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.67582,-75.65519,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.655190000284 39.675819999791),N,New Castle,"2,011"
2013 Jul 10 09:53:00 PM,4,Wednesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,6,"Water (standing, moving)",1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.52096,-75.57802,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.578020000325 39.520960000224),N,New Castle,"2,013"
2013 Apr 21 08:30:00 PM,1,Sunday,1,Non-Reportable,Y,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.46119,-75.32113,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.321130000234 38.461190000136),S,Sussex,"2,013"
2015 Mar 07 04:49:00 AM,6,Friday,1,Non-Reportable,Y,N,0,Not a collision between two vehicles,N,N,6,"Water (standing, moving)",4,Dark-Lighted,88,Other,NA,NA,Y,N,N,N,N,39.67957,-75.74992,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.74991999972 39.679569999727),N,New Castle,"2,015"
2012 Jan 21 07:08:00 AM,7,Saturday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",Y,N,3,Snow,4,Dark-Lighted,7,Blowing Snow,NA,NA,Y,N,N,N,N,39.81622,-75.53542,10,Driving under the influence,0,No,N,NA,NA,NA,NA,N,POINT (-75.535420000395 39.816220000196),N,New Castle,"2,012"
2012 Jun 27 11:46:00 AM,4,Wednesday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,Y,Y,39.75895,-75.53804,5,Wrong side or wrong way,0,No,N,NA,NA,NA,NA,N,POINT (-75.538039999803 39.758950000343),N,New Castle,"2,012"
2009 May 24 07:51:00 PM,1,Sunday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.8150753,-75.451335,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.451335000245 39.815075299818),N,New Castle,"2,009"
2015 Apr 27 01:33:00 PM,2,Monday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,1,Clear,Y,N,N,N,N,39.64232,-75.7293,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.729299999721 39.642320000022),N,New Castle,"2,015"
2010 Aug 20 10:30:00 PM,6,Friday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,N,N,N,Y,Y,39.74593,-75.55542,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.555420000252 39.745929999988),N,New Castle,"2,010"
2015 Mar 08 08:36:00 PM,1,Sunday,1,Non-Reportable,Y,N,2,Front to front,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.92177,-75.42219,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.422189999878 38.921769999673),K,Kent,"2,015"
2015 Nov 30 10:45:00 PM,2,Monday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,4,Dark-Lighted,4,Rain,NA,NA,Y,N,N,N,N,38.6483,-75.60861,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.608610000115 38.648300000105),S,Sussex,"2,015"
2015 Oct 24 09:39:00 PM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.76018,-75.60876,17,Animal in Roadway - Deer,0,No,N,NA,NA,NA,NA,N,POINT (-75.608759999903 39.760180000041),N,New Castle,"2,015"
2012 Mar 24 05:17:00 AM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.78004,-75.58797,88,Other,0,No,N,NA,NA,NA,NA,N,POINT (-75.587970000025 39.780040000262),N,New Castle,"2,012"
2013 Nov 23 02:28:00 PM,7,Saturday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.50338,-75.14419,14,Improper backing,0,No,N,NA,NA,NA,NA,N,POINT (-75.144190000243 38.503380000263),S,Sussex,"2,013"
2015 Oct 20 05:00:00 PM,3,Tuesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.74058,-75.5591,9,Made improper turn,0,No,N,NA,NA,NA,NA,N,POINT (-75.559100000018 39.740579999929),N,New Castle,"2,015"
2015 Oct 24 11:39:00 PM,7,Saturday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.74302,-75.56241,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.562409999887 39.743019999865),N,New Castle,"2,015"
2009 Jun 09 11:15:00 AM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.617495,-75.6446239,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.64462390003 39.617494999735),N,New Castle,"2,009"
2010 Feb 25 12:01:00 PM,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,6,Snow,NA,NA,Y,N,N,N,N,39.68988,-75.58159,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.581589999587 39.689879999761),N,New Castle,"2,010"
2013 Apr 05 12:51:00 PM,6,Friday,1,Non-Reportable,Y,N,0,Not a collision between two vehicles,N,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,N,N,N,38.74909,-75.17081,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.170809999839 38.74908999996),S,Sussex,"2,013"
2015 Aug 06 02:30:00 PM,5,Thursday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.69111,-75.52663,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.526629999713 39.691109999671),N,New Castle,"2,015"
2010 Aug 05 11:45:00 AM,5,Thursday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.75402,-75.50228,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.50227999972 39.754019999902),N,New Castle,"2,010"
